N(0),Bias,MAD,rp(0.05),Seed,Design,N samples,N instruments,Concentration,Model,Correlation,Instruments > N
0,0.0006407091270138887,0.5940162580836872,0.998,42,Exponential,100,100,30,Minimax (BIC),0.5,358
0,-0.003508427750695521,0.5905224123848699,0.96,42,Exponential,100,100,30,Minimax (BIC),0.9,179
0,-0.0011929140189297152,0.5967782836498237,0.992,42,Exponential,100,100,180,Minimax (BIC),0.5,344
0,-0.010371956930041698,0.5866645814835658,0.932,42,Exponential,100,100,180,Minimax (BIC),0.9,141
0,-0.0032985458281841983,0.6032088956457925,0.996,42,5,100,100,30,Minimax (BIC),0.5,358
0,-0.010242844468173647,0.59279789457967,0.962,42,5,100,100,30,Minimax (BIC),0.9,173
0,-0.0029273134504194803,0.5938208340016936,0.998,42,5,100,100,180,Minimax (BIC),0.5,339
0,-0.0054393936825351645,0.5896305671299037,0.956,42,5,100,100,180,Minimax (BIC),0.9,146
0,0.0002495292244372102,0.6031757844291088,1.0,42,50,100,100,30,Minimax (BIC),0.5,358
0,0.00279976304685825,0.5911726897841977,0.974,42,50,100,100,30,Minimax (BIC),0.9,200
0,0.002472064810079902,0.5964594190120426,1.0,42,50,100,100,180,Minimax (BIC),0.5,328
0,-0.003354839344597677,0.5794339591470977,0.946,42,50,100,100,180,Minimax (BIC),0.9,145
0,-0.003413655317074234,0.5964033619523849,1.0,42,Exponential,100,250,30,Minimax (BIC),0.5,500
0,0.005744911080011628,0.6046838617780622,1.0,42,Exponential,100,250,30,Minimax (BIC),0.9,500
0,-0.0015663559162225615,0.5999812600300577,1.0,42,Exponential,100,250,180,Minimax (BIC),0.5,500
0,-0.0009170794891428247,0.600703197178693,1.0,42,Exponential,100,250,180,Minimax (BIC),0.9,493
0,0.003348853422357183,0.5974041042952566,1.0,42,5,100,250,30,Minimax (BIC),0.5,500
0,0.004586978382185759,0.603682879237655,1.0,42,5,100,250,30,Minimax (BIC),0.9,500
0,-0.004342889439451228,0.6023464563991127,1.0,42,5,100,250,180,Minimax (BIC),0.5,500
0,-0.0032817485237899256,0.6032078656319642,1.0,42,5,100,250,180,Minimax (BIC),0.9,499
0,0.006619643841435141,0.5970061088397628,1.0,42,50,100,250,30,Minimax (BIC),0.5,500
0,-0.002297040136349439,0.5987807292488851,1.0,42,50,100,250,30,Minimax (BIC),0.9,500
0,0.0036785355060917485,0.5948749483509534,1.0,42,50,100,250,180,Minimax (BIC),0.5,500
0,0.00023810076737296182,0.5966546475211272,1.0,42,50,100,250,180,Minimax (BIC),0.9,495
87,0.004502149451477692,0.1728045817125209,0.148,42,Exponential,250,100,30,Minimax (BIC),0.5,0
23,-0.0027742235846614184,0.15243008207414477,0.162,42,Exponential,250,100,30,Minimax (BIC),0.9,0
0,-0.0030156053888392128,0.12044015571567768,0.382,42,Exponential,250,100,180,Minimax (BIC),0.5,0
0,-0.0016824966044901085,0.09730763921355035,0.272,42,Exponential,250,100,180,Minimax (BIC),0.9,0
88,0.0017560527299199744,0.17475892049331315,0.142,42,5,250,100,30,Minimax (BIC),0.5,0
21,-0.00281292472195362,0.16034195045350225,0.164,42,5,250,100,30,Minimax (BIC),0.9,0
0,-0.0023637133969539054,0.12278409568954396,0.352,42,5,250,100,180,Minimax (BIC),0.5,0
0,0.0028559076440182515,0.09391213182876501,0.21,42,5,250,100,180,Minimax (BIC),0.9,0
364,0.0009633895276543562,0.40952114254870153,0.426,42,50,250,100,30,Minimax (BIC),0.5,0
43,0.00043972367514303213,0.2600008054107693,0.456,42,50,250,100,30,Minimax (BIC),0.9,0
0,0.00043969482497176887,0.29471954808019374,0.952,42,50,250,100,180,Minimax (BIC),0.5,0
0,0.0017064686182600725,0.13387995402694997,0.374,42,50,250,100,180,Minimax (BIC),0.9,0
